Number of Vehicles,Road Surface,Lighting Conditions,Weather Conditions,Casualty Victim,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,1,1,1,1,1,1,17,2
2,1,1,1,1,1,2,28,2
2,1,1,1,1,1,2,39,4
1,1,1,1,3,1,2,32,4
1,1,1,1,3,1,2,55,4
1,1,1,1,3,1,1,64,4
2,1,1,1,1,1,1,24,2
1,1,1,1,3,1,1,23,4
2,1,2,1,1,1,2,59,4
2,1,2,1,1,1,1,30,4
2,1,1,1,2,1,2,10,4
2,1,1,1,2,1,1,83,6
2,1,1,1,2,1,2,70,6
1,1,1,1,3,1,1,73,4
1,1,1,1,2,1,2,43,4
2,1,2,1,1,1,1,44,4
2,1,2,1,2,1,2,12,4
2,1,2,1,2,1,1,14,4
1,1,1,1,1,1,1,25,2
2,1,1,1,1,1,1,40,4
2,1,1,1,1,1,1,42,4
1,1,1,1,3,1,2,35,6
2,1,1,1,1,2,1,27,2
1,1,1,1,3,1,1,5,4
2,1,1,1,1,1,2,21,4
1,1,1,1,3,2,2,28,6
1,1,1,1,3,1,1,12,6
2,1,1,1,1,2,1,44,2
1,1,1,1,3,2,1,12,4
